run_id,suite_id,scenario,seed,scale,snapshot_date,total_contracts,active_contracts,outstanding_balance,cumulative_paid_total,overdue_scheduled_amount,avg_ticket,partial_payment_count,prepayment_count,paid_amount_this_month,scheduled_amount_due_this_month,scheduled_principal_due_this_month,scheduled_interest_due_this_month,scheduled_fees_due_this_month,paid_to_scheduled_ratio
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-05-31,285,268,1344573.35,247579.77,36390.07,4487.0745964912285,17,9,164609.06,133443.45,106441.74,27001.71,0.00,1.233549192560594
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-06-30,382,365,1730046.02,355024.44,70552.95,4369.257015706807,22,13,206453.09,197093.24,158584.54,38508.70,0.00,1.0474894522003901
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-07-31,513,487,2189130.81,530455.63,122115.72,4250.537407407407,28,18,275491.88,268004.40,218247.20,49757.20,0.00,1.0279378995270225
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-08-31,668,633,2792471.97,718870.81,141949.62,4193.901856287425,38,12,329278.83,342582.93,279225.78,63357.15,0.00,0.9611653155047744
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-09-30,816,765,3308677.88,962978.92,174095.71,4160.583370098039,55,22,407212.45,402194.72,323327.69,78867.03,0.00,1.0124758723834069
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-10-31,974,904,3917207.87,1198103.71,209457.37,4150.679917864476,66,21,475258.82,453341.61,359000.37,94341.24,0.00,1.0483459040964715
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-11-30,1140,1071,4728276.74,1374904.05,223877.07,4198.43847368421,75,22,518705.44,508036.64,396702.52,111334.12,0.00,1.0210000601531417
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-12-31,1356,1266,5509094.99,1746006.20,272449.26,4192.594439528024,88,40,690797.31,613864.64,477824.55,136040.09,0.00,1.1253251368249522
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-01-31,9,9,55160.15,0.00,0.00,5101.672222222222,0,0,0.00,0.00,0.00,0.00,0.00,
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-02-29,42,42,242308.73,3096.91,5931.24,4768.041904761904,4,0,3096.91,9028.15,7421.11,1607.04,0.00,0.3430281951451848
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-03-31,99,97,531381.15,44481.66,7676.20,4657.451818181818,4,2,41384.75,36505.93,29557.32,6948.61,0.00,1.1336445887010687
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-04-30,184,178,944530.83,107823.53,18806.85,4601.647391304348,8,4,70320.13,72332.87,57489.02,14843.85,0.00,0.9721739231417198
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-05-31,285,263,1306061.37,277403.70,45367.21,4458.098842105263,15,16,198490.57,133443.45,106441.74,27001.71,0.00,1.4874508265486241
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-06-30,377,360,1702952.20,327180.20,90038.84,4316.015623342175,22,12,195034.93,197093.24,158584.54,38508.70,0.00,0.9895566687117224
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-07-31,508,498,2296781.84,364574.51,216253.89,4215.911141732284,47,4,134459.47,268004.40,218247.20,49757.20,0.00,0.50170620333099
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-08-31,679,658,3033214.44,504382.16,372523.43,4170.831060382916,33,7,189370.89,342582.93,279225.78,63357.15,0.00,0.5527738641268554
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-09-30,841,809,3702502.13,603760.88,513674.94,4134.790772889417,60,3,196965.48,402194.72,323327.69,78867.03,0.00,0.4897266677195564
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-10-31,1018,971,4453274.20,760200.79,675865.54,4122.7145383104125,59,7,257068.37,453341.61,359000.37,94341.24,0.00,0.5670522280096901
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-11-30,1207,1142,5388962.80,889051.74,811253.38,4186.231292460646,74,9,269847.95,508036.64,396702.52,111334.12,0.00,0.5311584416431067
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-12-31,1427,1326,6240932.47,1022949.56,922036.38,4182.260812894184,73,4,316098.89,613864.64,477824.55,136040.09,0.00,0.5149325590736095
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-01-31,9,9,32218.86,0.00,0.00,2982.7522222222224,0,0,0.00,0.00,0.00,0.00,0.00,
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-02-29,61,61,287318.39,4182.91,1354.78,3953.3218032786885,3,0,4182.91,5537.69,4699.31,838.38,0.00,0.7553528637392126
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-03-31,140,136,694496.23,51151.10,11570.96,4302.229714285714,7,4,46968.19,46202.80,37727.11,8475.69,0.00,1.016565879124209
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-04-30,264,252,1271390.27,156757.72,42384.97,4338.649393939394,1,11,119735.95,99075.39,79479.34,19596.05,0.00,1.2085337236623546
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-05-31,426,407,1989525.36,268683.56,72353.70,4258.211009389672,30,14,189249.72,185970.02,148752.61,37217.41,0.00,1.0176356382604035
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-06-30,597,566,2660032.23,480876.71,135477.28,4199.777738693468,44,23,308744.92,285324.31,228596.31,56728.00,0.00,1.0820841729188795
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-07-31,831,790,3634361.56,706521.22,221385.79,4181.221636582431,56,24,380205.73,395931.30,318335.70,77595.60,0.00,0.9602820741881231
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-08-31,1056,1001,4520663.41,970625.57,328290.63,4169.999924242425,74,26,467832.77,540392.04,436687.96,103704.08,0.00,0.865728462617621
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-09-30,1303,1236,5550805.07,1300220.65,452955.40,4180.596178050652,66,35,572303.26,643668.80,517180.80,126488.00,0.00,0.8891269236601184
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-10-31,1565,1449,6405168.26,1767280.24,531522.19,4161.715821086262,82,46,763928.44,756723.73,601920.17,154803.56,0.00,1.0095209251598334
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-11-30,1808,1665,7399852.68,2092516.73,528074.04,4184.429131637168,100,46,843735.91,836329.18,657307.14,179022.04,0.00,1.0088562376838268
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-12-31,2100,1988,8724712.68,2411135.90,680226.92,4186.501019047619,145,50,881114.77,981084.20,767444.95,213639.25,0.00,0.8981031087851583
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-01-31,4,4,19023.36,0.00,0.00,4044.4075,0,0,0.00,0.00,0.00,0.00,0.00,
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-02-29,12,12,70312.24,991.54,1642.51,4933.051666666666,2,0,991.54,2634.05,2067.82,566.23,0.00,0.3764317306049619
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-03-31,39,39,212371.28,8240.61,5533.65,4642.319230769231,4,0,7249.07,13387.85,11167.93,2219.92,0.00,0.5414663295450726
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-04-30,71,68,349545.81,40040.36,17291.26,4516.840281690141,3,2,31799.75,32690.86,26817.35,5873.51,0.00,0.9727413105681527
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-05-31,100,96,467562.97,80468.90,30983.84,4546.8563,8,3,55205.07,57505.03,47627.28,9877.75,0.00,0.9600041944156885
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-06-30,135,129,604674.68,130570.00,48158.15,4433.764370370371,6,3,67291.65,79983.43,66736.21,13247.22,0.00,0.8413198833808453
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-07-31,187,177,836751.56,194638.98,67727.83,4480.7208556149735,14,6,93401.41,95689.59,78782.75,16906.84,0.00,0.9760874720019179
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-08-31,240,225,1008610.94,232997.72,75201.88,4244.245583333333,13,4,101258.94,128654.70,105611.76,23042.94,0.00,0.787059780948539
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-09-30,303,284,1230732.92,293473.99,91991.91,4011.085214521452,16,9,128177.45,140470.14,112831.19,27638.95,0.00,0.9124889460493169
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-10-31,359,338,1430184.45,353572.07,104452.91,4013.318050139276,21,8,142471.43,166276.25,132478.98,33797.27,0.00,0.8568357176686388
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-11-30,424,396,1754084.25,464412.98,122887.50,4121.587547169811,32,13,180140.01,179427.69,139935.90,39491.79,0.00,1.0039699558078243
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-12-31,515,494,2190153.23,532186.95,149890.46,4155.80613592233,30,6,180539.32,217426.05,168733.38,48692.67,0.00,0.8303481574539942
