run_id,suite_id,scenario,seed,scale,event_month,contact_events,contracts_contacted,promises_to_pay,contracts_eligible,contact_rate,promise_rate
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-08-01,128,128,59,149,0.8590604026845637,0.4609375
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-09-01,181,181,99,209,0.8660287081339713,0.5469613259668509
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-10-01,240,240,139,270,0.8888888888888888,0.5791666666666667
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-11-01,232,232,134,282,0.8226950354609929,0.5775862068965517
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-12-01,305,305,169,342,0.8918128654970761,0.5540983606557377
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-03-01,5,5,2,10,0.5,0.4
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-04-01,19,19,10,31,0.6129032258064516,0.5263157894736842
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-05-01,40,40,15,56,0.7142857142857143,0.375
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-06-01,68,68,22,94,0.723404255319149,0.3235294117647059
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-07-01,163,163,56,233,0.6995708154506438,0.34355828220858897
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-08-01,268,268,100,336,0.7976190476190477,0.373134328358209
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-09-01,369,369,125,451,0.8181818181818182,0.33875338753387535
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-10-01,474,474,168,556,0.8525179856115108,0.35443037974683544
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-11-01,574,574,224,673,0.8528974739970282,0.3902439024390244
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-12-01,638,638,219,757,0.8428005284015853,0.3432601880877743
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-03-01,13,13,7,22,0.5909090909090909,0.5384615384615384
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-04-01,34,34,16,46,0.7391304347826086,0.47058823529411764
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-05-01,64,64,20,88,0.7272727272727273,0.3125
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-06-01,113,113,44,165,0.6848484848484848,0.3893805309734513
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-07-01,175,175,57,219,0.7990867579908676,0.32571428571428573
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-08-01,241,241,88,318,0.7578616352201258,0.3651452282157676
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-09-01,315,315,106,391,0.8056265984654731,0.33650793650793653
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-10-01,391,391,139,482,0.8112033195020747,0.3554987212276215
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-11-01,426,426,159,536,0.7947761194029851,0.3732394366197183
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-12-01,565,565,190,712,0.7935393258426966,0.336283185840708
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-03-01,2,2,0,5,0.4,0.0
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-04-01,10,10,7,12,0.8333333333333334,0.7
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-05-01,18,18,7,26,0.6923076923076923,0.3888888888888889
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-06-01,27,27,11,36,0.75,0.4074074074074074
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-07-01,41,41,15,54,0.7592592592592593,0.36585365853658536
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-08-01,52,52,18,70,0.7428571428571429,0.34615384615384615
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-09-01,65,65,25,85,0.7647058823529411,0.38461538461538464
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-10-01,79,79,22,96,0.8229166666666666,0.27848101265822783
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-11-01,98,98,35,131,0.7480916030534351,0.35714285714285715
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-12-01,116,116,44,154,0.7532467532467533,0.3793103448275862
