run_id,region,channel,contracts,outstanding_balance,low_sample,sample_classification
RUN_macroeconomic_stress_sample_2026_c0afa13a,region_4,web,111,465199.66,False,adequate
RUN_policy_expansion_sample_2026_275cb395,region_1,app,201,811708.21,False,adequate
RUN_policy_expansion_sample_2026_275cb395,region_1,branch,63,290172.98,False,limited
RUN_policy_expansion_sample_2026_275cb395,region_1,partner,72,263548.97,False,limited
RUN_policy_expansion_sample_2026_275cb395,region_1,web,168,733803.27,False,adequate
RUN_policy_expansion_sample_2026_275cb395,region_2,app,217,929237.91,False,adequate
RUN_policy_expansion_sample_2026_275cb395,region_2,branch,76,305020.46,False,limited
RUN_policy_expansion_sample_2026_275cb395,region_2,partner,83,414852.65,False,limited
RUN_policy_expansion_sample_2026_275cb395,region_2,web,156,660552.50,False,adequate
RUN_policy_expansion_sample_2026_275cb395,region_3,app,206,845934.35,False,adequate
RUN_policy_expansion_sample_2026_275cb395,region_3,branch,79,335412.52,False,limited
RUN_policy_expansion_sample_2026_275cb395,region_3,partner,82,322932.66,False,limited
RUN_policy_expansion_sample_2026_275cb395,region_3,web,157,604057.12,False,adequate
RUN_policy_expansion_sample_2026_275cb395,region_4,app,203,846090.50,False,adequate
RUN_policy_expansion_sample_2026_275cb395,region_4,branch,99,416615.17,False,limited
RUN_policy_expansion_sample_2026_275cb395,region_4,partner,77,332687.75,False,limited
RUN_policy_expansion_sample_2026_275cb395,region_4,web,161,612085.66,False,adequate
RUN_policy_tightening_sample_2026_4aaa4164,region_1,app,50,202976.27,False,limited
RUN_policy_tightening_sample_2026_4aaa4164,region_1,branch,8,29053.32,True,insufficient
RUN_policy_tightening_sample_2026_4aaa4164,region_1,partner,18,58796.45,True,insufficient
RUN_policy_tightening_sample_2026_4aaa4164,region_1,web,34,153993.67,False,limited
RUN_policy_tightening_sample_2026_4aaa4164,region_2,app,58,235606.01,False,limited
RUN_policy_tightening_sample_2026_4aaa4164,region_2,branch,21,83912.35,True,insufficient
RUN_policy_tightening_sample_2026_4aaa4164,region_2,partner,15,80808.74,True,insufficient
RUN_policy_tightening_sample_2026_4aaa4164,region_2,web,39,166388.77,False,limited
RUN_policy_tightening_sample_2026_4aaa4164,region_3,app,48,183108.04,False,limited
RUN_policy_tightening_sample_2026_4aaa4164,region_3,branch,20,96306.29,True,insufficient
RUN_policy_tightening_sample_2026_4aaa4164,region_3,partner,15,69217.02,True,insufficient
RUN_policy_tightening_sample_2026_4aaa4164,region_3,web,50,192368.31,False,limited
RUN_policy_tightening_sample_2026_4aaa4164,region_4,app,60,288984.14,False,limited
RUN_policy_tightening_sample_2026_4aaa4164,region_4,branch,25,106697.12,True,insufficient
RUN_policy_tightening_sample_2026_4aaa4164,region_4,partner,13,59912.30,True,insufficient
RUN_policy_tightening_sample_2026_4aaa4164,region_4,web,41,182024.43,False,limited
